id_question,trial_id,n_options,position,position_label,prob,is_first,is_last
SAFECRIME_W26,baseline,4,0,A,0.7695,True,False
SAFECRIME_W26,baseline,4,1,B,0.1041,False,False
SAFECRIME_W26,baseline,4,2,C,0.0632,False,False
SAFECRIME_W26,baseline,4,3,D,0.0632,False,True
SAFECRIME_W26,permutation_1,4,0,A,0.7891,True,False
SAFECRIME_W26,permutation_1,4,1,B,0.1068,False,False
SAFECRIME_W26,permutation_1,4,2,C,0.0648,False,False
SAFECRIME_W26,permutation_1,4,3,D,0.0393,False,True
SAFECRIME_W26,permutation_2,4,0,A,0.7891,True,False
SAFECRIME_W26,permutation_2,4,1,B,0.1068,False,False
SAFECRIME_W26,permutation_2,4,2,C,0.0648,False,False
SAFECRIME_W26,permutation_2,4,3,D,0.0393,False,True
SAFECRIME_W26,permutation_3,4,0,A,0.8238,True,False
SAFECRIME_W26,permutation_3,4,1,B,0.0676,False,False
SAFECRIME_W26,permutation_3,4,2,C,0.0676,False,False
SAFECRIME_W26,permutation_3,4,3,D,0.041,False,True
WORLDDANGER_W26,baseline,3,0,A,0.8214,True,False
WORLDDANGER_W26,baseline,3,1,B,0.1112,False,False
WORLDDANGER_W26,baseline,3,2,C,0.0674,False,True
WORLDDANGER_W26,permutation_1,3,0,A,0.7361,True,False
WORLDDANGER_W26,permutation_1,3,1,B,0.1643,False,False
WORLDDANGER_W26,permutation_1,3,2,C,0.0996,False,True
WORLDDANGER_W26,permutation_2,3,0,A,0.7361,True,False
WORLDDANGER_W26,permutation_2,3,1,B,0.1643,False,False
WORLDDANGER_W26,permutation_2,3,2,C,0.0996,False,True
WORLDDANGER_W26,permutation_3,3,0,A,0.787,True,False
WORLDDANGER_W26,permutation_3,3,1,B,0.1065,False,False
WORLDDANGER_W26,permutation_3,3,2,C,0.1065,False,True
WORRYA_W26,baseline,3,0,A,0.8214,True,False
WORRYA_W26,baseline,3,1,B,0.1112,False,False
WORRYA_W26,baseline,3,2,C,0.0674,False,True
WORRYA_W26,permutation_1,3,0,A,0.8214,True,False
WORRYA_W26,permutation_1,3,1,B,0.1112,False,False
