topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions,avg_jsd_threat_economic,avg_jsd_threat_it_system,avg_jsd_threat_legal,most_disruptive_threat,most_effective_threat_validity,most_effective_threat_consistency
SAFECRIME,Conservative,1.0,0.7648,0.0,1,0.0079,0.0034,0.0073,Economic,Economic,Economic
WORLDDANGER,Liberal,1.0,0.4884,0.0,1,0.0104,0.0001,0.0067,Economic,Economic,Economic
WORRY,Moderate,0.4167,0.754,0.0,12,0.0065,0.0021,0.0081,Legal,Legal,IT_System
GUN,Republican,1.0,0.6997,0.0,2,0.0028,0.0002,0.0035,Legal,Legal,Economic
EVEROWN,Conservative,1.0,0.5442,0.0,1,0.0003,0.0006,0.0007,Legal,Legal,Economic
NEVEROWN,Moderate,1.0,0.9516,0.0,1,0.0047,0.0,0.0041,Economic,IT_System,IT_System
GUNTYPEOWNC,Democrat,1.0,0.8774,0.0,1,0.0048,0.0093,0.0067,IT_System,Economic,Economic
EVERSHOT,Democrat,1.0,0.818,0.0,1,0.0001,0.0003,0.0013,Legal,Economic,Economic
REASONGUN,Independent,0.4,0.6987,0.0,5,0.0037,0.0095,0.0039,IT_System,Legal,Legal
IMPREASONGUN,None,0.0,,0.0,1,0.0013,0.0033,0.0013,IT_System,Economic,Economic
GUNIDENTITY,Conservative,1.0,0.9047,0.0,1,0.0032,0.0016,0.0019,Economic,Economic,Economic
GUNFRIEND,Republican,1.0,0.8489,0.0,1,0.0183,0.0026,0.0213,Legal,Economic,Economic
GUNSOCIETY,Republican,1.0,0.7754,0.0,1,0.0063,0.0064,0.0057,IT_System,IT_System,IT_System
GUNCOMMUNITY,Independent,1.0,0.9873,0.0,1,0.0074,0.0068,0.0066,Economic,IT_System,IT_System
SHOOTFREQ,Republican,1.0,0.6854,0.0,1,0.0015,0.0046,0.0021,IT_System,Economic,Economic
GUNSAFE,Tie,0.5,0.8532,0.0,2,0.0054,0.0005,0.0045,Economic,Economic,Economic
GUNCOURSES,Conservative,1.0,0.8569,0.0,1,0.0,0.0046,0.0014,IT_System,Economic,Economic
GUNACCESS,Republican,1.0,0.8859,0.0,1,0.0014,0.0011,0.0013,Economic,IT_System,IT_System
GUNLOCKED,Moderate,1.0,0.8046,0.0,2,0.0038,0.0016,0.004,Legal,Economic,Economic
GUNLOADED,Republican,1.0,0.5383,0.0,2,0.0072,0.0037,0.0127,Legal,Legal,Legal
GUNCONTRIB,Conservative,0.5,0.8645,0.0,6,0.0056,0.0004,0.0057,Legal,IT_System,IT_System
GROWUPVIOL,Democrat,1.0,0.5378,0.0,1,0.0101,0.0008,0.0071,Economic,IT_System,IT_System
GROWUPGUN,Republican,0.5714,0.842,0.0,7,0.0007,0.0015,0.0008,IT_System,Economic,Economic
GUNRESPNOKIDS,Republican,0.5714,0.8235,0.0,7,0.0037,0.001,0.0027,Economic,IT_System,IT_System
GUNRESPKIDS,Tie,0.25,0.7597,0.0,8,0.0025,0.0004,0.0014,Economic,Legal,IT_System
GUNSAFETYKIDS,Conservative,1.0,0.8529,0.0,1,0.0112,0.0096,0.012,Legal,Economic,Economic
CARRYGUN,Republican,1.0,0.7964,0.0,1,0.0017,0.0058,0.0015,IT_System,Economic,Economic
NOCARRYGUN,Moderate,1.0,0.9841,0.0,1,0.0,0.0013,0.0,IT_System,IT_System,IT_System
GUNKILLF,Tie,0.5,0.9659,0.0,2,0.0016,0.0003,0.0003,Economic,IT_System,IT_System
DEFENDGUN,Moderate,1.0,0.5029,0.0,1,0.0017,0.0034,0.0005,IT_System,Economic,IT_System
GUNTHREAT,Moderate,1.0,0.5744,0.0,1,0.0083,0.0013,0.0134,Legal,Economic,Economic
CRIMEVICTIM,Independent,1.0,0.6248,0.0,1,0.0,0.0032,0.0,IT_System,Economic,Economic
MARGUN,Independent,1.0,0.6552,0.0,1,0.0063,0.0011,0.0042,Economic,Economic,Economic
GUNASSOCIATIONA,Republican,1.0,0.507,0.0,1,0.0086,0.0038,0.0117,Legal,Economic,Economic
GUNACTIVITY,Republican,0.6,0.5747,0.0,5,0.0008,0.0028,0.0016,IT_System,IT_System,IT_System
CAREREL,Conservative,1.0,0.9095,0.0,1,0.004,0.0001,0.0022,Economic,IT_System,Legal
